MODEL,AÇIKLAMA,LİSTE FİYATI
KXS-1000-V5.1,ISI POMPASI BOYLERİ - TEK SERPANTİNLİ / TEK SIRA 1000 LİTRE - 10 BAR,2451.6000000000004
KXS-1500-V5.1,ISI POMPASI BOYLERİ - TEK SERPANTİNLİ / TEK SIRA 1500 LİTRE - 10 BAR,3271.32
KXS-2000-V5.1,ISI POMPASI BOYLERİ - TEK SERPANTİNLİ / TEK SIRA 2000 LİTRE - 10 BAR,4569.4800000000005
KSH-0800-V5.1,SOLAR & ISI POMPASI BOYLER - ÇİFT SERPANTİNLİ 800 LİTRE - 10 BAR,2215.08
KSH-1000-V5.1,SOLAR & ISI POMPASI BOYLER - ÇİFT SERPANTİNLİ 1000 LİTRE - 10 BAR,2467.8
KBT-B-0100-V5,BUFFER TANK 100 LİTRE,334.8
KBT-B-0160-V5,BUFFER TANK 160 LİTRE,388.8
KBT-B-0200-V5,BUFFER TANK 200 LİTRE,411.48
KBT-B-0300-V5,BUFFER TANK 300 LİTRE,464.40000000000003
KBT-B-0500-V5,BUFFER TANK 500 LİTRE,614.5200000000001
KBT-B-0800-V5,BUFFER TANK 800 LİTRE,911.5200000000001
KBT-B-1000-V5,BUFFER TANK 1000 LİTRE,988.2
KBT-B-1500-V5,BUFFER TANK 1500 LİTRE,1418.0400000000002
KBT-B-2000-V5,BUFFER TANK 2000 LİTRE,2008.8000000000002
KBT-S-0160-V5,BUFFER TANK - TEK SERPANTİNLİ 160 LİTRE,502.20000000000005
KBT-S-0200-V5,BUFFER TANK - TEK SERPANTİNLİ 200 LİTRE,542.1600000000001
KBT-S-0300-V5,BUFFER TANK - TEK SERPANTİNLİ 300 LİTRE,635.0400000000001
KBT-S-0500-V5,BUFFER TANK - TEK SERPANTİNLİ 500 LİTRE,826.2
KBT-S-0800-V5,BUFFER TANK - TEK SERPANTİNLİ 800 LİTRE,1229.0400000000002
KBT-S-1000-V5,BUFFER TANK - TEK SERPANTİNLİ 1000 LİTRE,1353.24
KBT-S-1500-V5,BUFFER TANK - TEK SERPANTİNLİ 1500 LİTRE,1859.7600000000002
KBT-S-2000-V5,BUFFER TANK - TEK SERPANTİNLİ 2000 LİTRE,2640.6000000000004
KBT-D-0160-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 160 LİTRE,545.4000000000001
KBT-D-0200-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 200 LİTRE,582.12
KBT-D-0300-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 300 LİTRE,682.5600000000001
KBT-D-0500-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 500 LİTRE,972.0000000000001
KBT-D-0800-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 800 LİTRE,1432.0800000000002
KBT-D-1000-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 1000 LİTRE,1537.92
KBT-D-1500-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 1500 LİTRE,2126.52
KBT-D-2000-V5,BUFFER TANK - ÇİFT SERPANTİNLİ 2000 LİTRE,3061.8
KCB-0500/100-V5,KOMBİ BUFFER TANK - 500/100 LİTRE,1144.8000000000002
KCB-0500/160-V5,KOMBİ BUFFER TANK - 500/160 LİTRE,1211.76
KCB-0800/160-V5,KOMBİ BUFFER TANK - 800/160 LİTRE,1562.76
KCB-1000/160-V5,KOMBİ BUFFER TANK - 1000/160 LİTRE,1729.0800000000002
KCB-1000/200-V5,KOMBİ BUFFER TANK - 1000/200 LİTRE,1762.5600000000002
KCB-1500/200-V5,KOMBİ BUFFER TANK - 1500/200 LİTRE,2204.28
KCB-1500/350-V5,KOMBİ BUFFER TANK - 1500/350 LİTRE,2354.4
KCB-2000/200-V5,KOMBİ BUFFER TANK - 2000/200 LİTRE,2815.5600000000004
KCB-2000/350-V5,KOMBİ BUFFER TANK - 2000/350 LİTRE,2954.88
KBT-CB-0100-V5,BUFFER TANK 100 LİTRE,308.88
KBT-CB-0300-V5,BUFFER TANK 300 LİTRE,436.32000000000005
KBT-CB-0500-V5,BUFFER TANK 500 LİTRE,574.5600000000001
KBT-CB-0800-V5,BUFFER TANK 800 LİTRE,1058.4
KBT-CB-1000-V5,BUFFER TANK 1000 LİTRE,1149.1200000000001
KBT-CB-1500-V5,BUFFER TANK 1500 LİTRE,1651.3200000000002
KBT-CB-2000-V5,BUFFER TANK 2000 LİTRE,2259.36
